Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006469,2621.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006937,3326.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006937,3326.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005398,4845.48
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005509,5440.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006189,6360.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006178,6789.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1006960,9078
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1006041,3409.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1005971,4447.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,ICT Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",ACKNOWLEDGE LTD,1005870,2390
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1006170,4166.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,A C DICKER T/A GLEVERS,1007767,4166.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,BRIAN JONES,1006160,1771.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Independent Experts,Business Group - Advanced Manufacturing Industries,CARTMAN DOT ORG LTD,1006163,949.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Information Facilities,Shareholder Executive - Shareholder Executive,PARITY RESOURCES LTD,1006124,2166.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1005875,1350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,COMPANIES HOUSE,1006448,1168
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1007498,9135
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,LEXISNEXIS UK,1007062,1894
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,REED BUSINESS INFORMATION LTD,1006281,2350
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,SWETS INFORMATION SERVICES,1007607,822.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Insolvency Service Policy Work,Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1005730,2200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Insolvency Service Policy Work,Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1005730,132000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,1006599,-18774
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,1006596,545
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,1006597,4299
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,1006599,18774
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interdepartmental Dispatch Services,Finance & Commercial Group - Information and Workplace Strategies,GOVERNMENT CAR AND DESPATCH AGENCY,1006599,18774
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007197,-5908.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007093,-5033.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006854,-4486.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007612,-1094.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007393,-656.51
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1007904,-437.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Interest Receivable - Other,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1005608,-7647.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Interest Receivable - Other,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1005834,-6236.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Interest Receivable - Other,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006355,-5580.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Interest Receivable - Other,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1006655,-5317.71
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Interior Landscaping & Refurbishment,Finance & Commercial Group - Information and Workplace Strategies,PLANTFORCE INTERIOR LANDSCAPING LTD,1006215,501.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Interior Landscaping & Refurbishment,Finance & Commercial Group - Information and Workplace Strategies,PLANTFORCE INTERIOR LANDSCAPING LTD,1006215,669.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Internal Audit Services,Finance & Commercial Group - Finance Group,PRICEWATERHOUSECOOPERS LLP,1006022,288513
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,IT Maintenance and Management Services,Business Group - Advanced Manufacturing Industries,AMOR BUSINESS TECHNOLOGY SOLUTIONS LTD T/A REAL TIME,1007343,38000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,IT Maintenance and Management Services,"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1006347,7166.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,IT Maintenance and Management Services,"Legal, People & Communications Group - Communications Directorate",COI COMMUNICATIONS,1006357,7166.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,IT Services (Programme),"Legal, People & Communications Group - Communications Directorate",EDUSERV TECHNOLOGIES LTD,1007918,6580
