Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Defence Science and Technology Laboratory,31/08/2011,Sub Contracted Research,Programme Office,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,,V - 9000135692 - 00116859,489285.25
Ministry of Defence,Ministry of Defence,22/08/2011,Rental of plant and machinery,Defence Equipment & Support,BARLOWORLD HANDLING LTD,WA3 3JD,834331,475136.39
Ministry of Defence,Ministry of Defence,03/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,827137,474441.72
Ministry of Defence,Ministry of Defence,04/08/2011,Estate management,Air Command,SERCO LIMITED,RG27 9UY,828165,467236.82
Ministry of Defence,Ministry of Defence,17/08/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10858,462609.07
Ministry of Defence,Ministry of Defence,09/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,829874,461385.03
Ministry of Defence,Ministry of Defence,10/08/2011,"Transporation of personnel, freight and travel expenses",Land Forces,HOEBER-REISEN KG,,5000060985,459341.59
Ministry of Defence,Ministry of Defence,18/08/2011,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,833621,454486.66
Ministry of Defence,Ministry of Defence,10/08/2011,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,829933,452342.68
Ministry of Defence,Ministry of Defence,26/08/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,836577,445825.01
Ministry of Defence,Ministry of Defence,12/08/2011,Design services and minor equipment purchases,Air Command,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,831087,439825.43
Ministry of Defence,Ministry of Defence,16/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,832314,436443
Ministry of Defence,Ministry of Defence,25/08/2011,Purchase of buildings and military equipment ,Navy Command,VT FLAGSHIP LTD,PO6 4PR,836557,423492
Ministry of Defence,Ministry of Defence,12/08/2011,Design services and minor equipment purchases,Air Command,SERCO LIMITED,RG27 9UY,831433,419178.78
Ministry of Defence,Ministry of Defence,25/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,836066,418328.51
