Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
10/02/12,Hotels,518.64,,,
13/02/12,Hotels,668.37,,,
13/02/12,Hotels,939.46,,,
13/02/12,Hotels,660.60,,,
13/02/12,Hotels,522.58,,,
13/02/12,Hotels,737.18,,,
13/02/12,Hotels,667.20,,,
13/02/12,Hotels,755.29,,,
13/02/12,Hotels,2141.10,,,
13/02/12,Hotels,1209.52,,,
14/02/12,Hotels,777.32,,,
14/02/12,Hotels,518.45,,,
15/02/12,Hotels,1211.90,,,
15/02/12,Hotels,594.63,,,
16/02/12,Hotels,521.17,,,
16/02/12,Hotels,585.54,,,
17/02/12,Hotels,505.78,,,
17/02/12,Hotels,633.50,,,
17/02/12,Hotels,683.41,,,
17/02/12,Hotels,513.77,,,
17/02/12,Hotels,-520.19,,,
20/02/12,Hotels,1659.84,,,
20/02/12,Hotels,2620.16,,,
20/02/12,Hotels,528.77,,,
20/02/12,Hotels,865.61,,,
20/02/12,Hotels,1210.00,,,
20/02/12,Hotels,558.00,,,
20/02/12,Hotels,558.00,,,
20/02/12,Hotels,558.00,,,
22/02/12,Hotels,726.82,,,
22/02/12,Hotels,932.98,,,
22/02/12,Hotels,1088.00,,,
22/02/12,Hotels,543.00,,,
22/02/12,Hotels,1500.00,,,
23/02/12,Hotels,1048.43,,,
23/02/12,Hotels,5107.20,,,
23/02/12,Hotels,830.88,,,
