Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH BUCKS DC (HSG),,,,5000169199,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH CAMBRIDGESHIRE DC,,,,5000169200,Grant Payable by Exchequer,"4,206.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH DERBYSHIRE D C,,,,5000169201,Grant Payable by Exchequer,"5,372.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH GLOUCESTERSHIRE DC (HSG),,,,5000169202,Grant Payable by Exchequer,"59,377.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH HAMS DC,,,,5000169203,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH HOLLAND,,,,5000169204,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH KESTEVEN DC (HSG),,,,5000169205,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH LAKELAND DC,,,,5000169206,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH NORFOLK DC,,,,5000169207,Grant Payable by Exchequer,"16,455.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH NORTHAMPTONSHIRE DC,,,,5000169208,Grant Payable by Exchequer,"5,489.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH OXFORDSHIRE DC,,,,5000169209,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH RIBBLE BC,,,,5000169397,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH SOMERSET DC,,,,5000169210,Grant Payable by Exchequer,"6,189.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH STAFFORDSHIRE DC,,,,5000169211,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTH TYNESIDE COUNCIL,,,,5000169398,Grant Payable by Exchequer,"310,960.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTHAMPTON CITY CNCL,,,,5000169399,Grant Payable by Exchequer,"90,639.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTHEND ON SEA BC,,,,5000169400,Grant Payable by Exchequer,"54,314.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SOUTHWARK LB,,,,5000169401,Grant Payable by Exchequer,"181,744.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SPELTHORNE DC,,,,5000169212,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ST ALBANS CITY COUNCIL,,,,5000169402,Grant Payable by Exchequer,"6,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ST EDMUNDSBURY (HSG),,,,5000169213,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,ST HELENS MBC,,,,5000169403,Grant Payable by Exchequer,"139,484.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STAFFORD BC,,,,5000169404,Grant Payable by Exchequer,"4,206.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STAFFORDSHIRE COUNTY CNCL,,,,5000169405,Grant Payable by Exchequer,"147,928.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STAFFORDSHIRE MOORLANDS DC,,,,5000169214,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STEVENAGE BC,,,,5000169406,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STOCKPORT MBC,,,,5000169407,Grant Payable by Exchequer,"60,533.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STOCKTON-ON-TEES BC (HSG),,,,5000169215,Grant Payable by Exchequer,"58,290.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STOKE ON TRENT CITY COUNCIL,,,,5000169408,Grant Payable by Exchequer,"106,103.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STRATFORD ON AVON DC,,,,5000169409,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,STROUD DC (HSG),,,,5000169216,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SUFFOLK CC (SOCIAL CARE SERV) (H,,,,5000169217,Grant Payable by Exchequer,"138,280.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SUFFOLK COASTAL DC (HSG),,,,5000169218,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SURREY COUNTY CNCL,,,,5000169410,Grant Payable by Exchequer,"166,241.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SURREY HEATH BC,,,,5000169411,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SUTTON LB,,,,5000169412,Grant Payable by Exchequer,"52,696.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SWALE BC,,,,5000169413,Grant Payable by Exchequer,"7,705.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,SWINDON BC,,,,5000169414,Grant Payable by Exchequer,"48,204.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TAMESIDE MBC,,,,5000169415,Grant Payable by Exchequer,"46,346.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TAMWORTH BOROUGH COUNCIL,,,,5000169416,Grant Payable by Exchequer,"13,605.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TANDRIDGE DC,,,,5000169219,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TAUNTON DEANE BC,,,,5000169220,Grant Payable by Exchequer,"11,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TEIGNBRIDGE DC,,,,5000169221,Grant Payable by Exchequer,"9,456.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TELFORD & WREKIN DC,,,,5000169417,Grant Payable by Exchequer,"50,807.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TENDRING DC,,,,5000169222,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TEST VALLEY BC,,,,5000169223,Grant Payable by Exchequer,"7,355.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TEWKESBURY BC,,,,5000169224,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,THANET DC,,,,5000169225,Grant Payable by Exchequer,"101,935.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,THREE RIVERS DC,,,,5000169418,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,THURROCK  BOROUGH COUNCIL,,,,5000169419,Grant Payable by Exchequer,"58,126.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TONBRIDGE & MALLING BC,,,,5000169226,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TORBAY BC,,,,5000169420,Grant Payable by Exchequer,"48,791.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TORRIDGE DC,,,,5000169227,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TOWER HAMLETS LB (HSG),,,,5000169228,Grant Payable by Exchequer,"518,261.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TRAFFORD MBC,,,,5000169421,Grant Payable by Exchequer,"47,567.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,TUNBRIDGE WELLS BC,,,,5000169229,Grant Payable by Exchequer,"7,355.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,UTTLESFORD DC,,,,5000169230,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,VALE OF WHITE HORSE DC,,,,5000169231,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WALSALL MBC,,,,5000169423,Grant Payable by Exchequer,"55,596.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WALTHAM FOREST LB,,,,5000169424,Grant Payable by Exchequer,"89,711.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WANDSWORTH LB,,,,5000169425,Grant Payable by Exchequer,"89,087.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WARRINGTON BC,,,,5000169426,Grant Payable by Exchequer,"50,831.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WARWICK,,,,5000169427,Grant Payable by Exchequer,"7,122.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WARWICKSHIRE COUNTY CNCL,,,,5000169428,Grant Payable by Exchequer,"95,908.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WATFORD COUNCIL,,,,5000169429,Grant Payable by Exchequer,"23,455.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WAVENEY DISTRICT COUNCIL,,Large,,5000169232,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WAVERLEY BC V177,,,,5000169233,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEALDEN DC,,,,5000169234,Grant Payable by Exchequer,"8,873.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WELLINGBOROUGH,,,,5000169430,Grant Payable by Exchequer,"4,789.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WELWYN HATFIELD COUNCIL,,,,5000169235,Grant Payable by Exchequer,"15,705.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST BERKSHIRE COUNCIL,,,,5000169431,Grant Payable by Exchequer,"46,002.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST DEVON BC,,,,5000169236,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST DORSET DC,,,,5000169237,Grant Payable by Exchequer,"8,172.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST LANCASHIRE BC,,,,5000169432,Grant Payable by Exchequer,"4,166.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST LINDSEY DC,,,,5000169238,Grant Payable by Exchequer,"5,372.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST OXFORDSHIRE DC,,,,5000169239,Grant Payable by Exchequer,"11,206.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST SOMERSET DC,,,,5000169240,Grant Payable by Exchequer,"9,959.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEST SUSSEX CC,,,,5000169433,Grant Payable by Exchequer,"127,948.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WESTMINSTER CITY CNCL,,,,5000169434,Grant Payable by Exchequer,"736,945.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WEYMOUTH & PORTLAND BC,,,,5000169435,Grant Payable by Exchequer,"13,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WIGAN MBC,,,,5000169436,Grant Payable by Exchequer,"74,219.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WILTSHIRE COUNCIL,,,,5000169446,Grant Payable by Exchequer,"133,851.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WINCHESTER CITY CNCL,,,,5000169241,Grant Payable by Exchequer,"15,871.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WINDSOR & MAIDENHEAD (HSG),,,,5000169242,Grant Payable by Exchequer,"36,909.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WIRRAL MBC,,,,5000169437,Grant Payable by Exchequer,"101,902.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WOKING BC,,,,5000169438,Grant Payable by Exchequer,"5,955.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WOKINGHAM DC,,,,5000169439,Grant Payable by Exchequer,"38,476.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WOLVERHAMPTON MBC,,,,5000169440,Grant Payable by Exchequer,"59,453.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WORCESTER CITY CNCL,,,,5000169441,Grant Payable by Exchequer,"13,539.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WORCESTERSHIRE COUNTY COUNCIL,,,,5000169442,Grant Payable by Exchequer,"96,674.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WORTHING BC,,,,5000169443,Grant Payable by Exchequer,"12,489.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WYCHAVON DISTRICT COUNCIL,,,,5000169243,Grant Payable by Exchequer,"7,355.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WYCOMBE DC,,Medium,,5000169244,Grant Payable by Exchequer,"8,288.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WYRE BC,,,,5000169245,Grant Payable by Exchequer,"5,722.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,WYRE FOREST DISTRICT COUNCIL,,,,5000169444,Grant Payable by Exchequer,"24,438.00",Yes
Communities & Local Government,DCLG,15/07/2011,Local Services Support Grant,Localism,YORK CITY CNCL,,,,5000169445,Grant Payable by Exchequer,"65,509.00",Yes
Communities & Local Government,DCLG,15/07/2011,Cmmunication Telecom Costs,Finance & Corporate Services,VODAFONE UK,,Large,,2100205791,,"5,990.88",
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ADUR DC,,,,5000169748,Grant Payable by Exchequer,"15,430.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ALLERDALE BC,,,,5000169749,Grant Payable by Exchequer,"11,416.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AMBER VALLEY BC,,,,5000169750,Grant Payable by Exchequer,"15,619.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ARUN DC,,,,5000169538,Grant Payable by Exchequer,"24,614.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ASHFIELD DC,,,,5000169751,Grant Payable by Exchequer,"14,779.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,ASHFORD BC,,,,5000169540,Grant Payable by Exchequer,"15,947.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON & SOMERSET POLICE AUTHORITY,,,,5000169622,Grant Payable by Exchequer,"236,939.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON FIRE AUTHORITY,,Large,,5000168963,Grant Payable by Exchequer,"106,059.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON FIRE AUTHORITY,,Large,,5000169532,Grant Payable by Exchequer,"55,545.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AVON FIRE AUTHORITY,,Large,,5000169533,Grant Payable by Exchequer,"3,510,711.00",Yes
Communities & Local Government,DCLG,15/07/2011,Current (non AEF) Grants to Local Authorities,Localism,AYLESBURY VALE DC(HSG),,,,5000169542,Grant Payable by Exchequer,"24,420.00",Yes
